ID,Dam,Sire
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,1,
27,1,
28,8,
29,8,
30,8,
31,10,
32,10,
33,10,
34,16,
35,16,
36,16,
37,17,
38,17,
39,2,
40,2,
41,2,
42,22,
43,22,
44,22,
45,23,
46,23,
47,23,
48,24,
49,24,
50,25,
51,25,
52,25,
53,4,
54,5,
55,15,
56,5,
57,5,
58,5,
59,6,
60,6,
61,7,
62,7,
63,7,
64,14,
65,14,
66,14,
67,5,
68,5,
69,6,
70,6,
71,7,
72,7,
73,14,
74,14,
75,14,
76,5,
77,5,
78,6,
79,6,
80,6,
81,7,
82,7,
83,7,
84,14,
85,14,
86,14,
87,1,
88,1,
89,10,
90,10,
91,16,
92,16,
93,17,
94,17,
95,1,
96,1,
97,8,
98,8,
99,10,
100,10,
101,16,
102,16,
103,16,
104,17,
105,17,
106,17,
107,13,
108,13,
109,18,
110,19,
111,20,
112,20,
113,5,
114,6,
115,6,
116,7,
117,7,
118,7,
119,14,
120,14,
121,4,
122,4,
123,14,
124,15,
125,15,
126,15,
127,1,
128,1,
129,8,
130,8,
131,10,
132,10,
133,16,
134,17,
135,17,
136,1,
137,1,
138,1,
139,8,
140,10,
141,10,
142,16,
143,16,
144,17,
145,17,
146,17,
147,13,
148,13,
149,19,
150,19,
151,19,
152,20,
153,20,
154,21,
155,21,
156,21,
157,13,
158,13,
159,18,
160,18,
161,19,
162,19,
163,19,
164,20,
165,20,
166,20,
167,21,
168,21,
169,21,
170,13,
171,13,
172,13,
173,18,
174,20,
175,21,
176,21,
177,13,
178,13,
179,19,
180,19,
181,19,
182,2,
183,22,
184,23,
185,23,
186,24,
187,24,
188,25,
189,25,
190,2,
191,2,
192,22,
193,22,
194,22,
195,23,
196,23,
197,23,
198,24,
199,24,
200,25,
201,25,
202,25,
203,2,
204,2,
205,2,
206,22,
207,22,
208,22,
209,23,
210,23,
211,24,
212,24,
213,24,
214,25,
215,25,
216,25,
217,2,
218,2,
219,22,
220,22,
221,23,
222,23,
223,24,
224,24,
225,25,
226,14,
227,5,
228,4,
229,12,
230,9,
231,1,
232,24,
233,2,
234,3,
235,22,
236,2,
237,2,
238,22,
239,22,
240,23,
241,2,
242,3,
243,22,
244,22,
245,24,
246,3,
247,22,
248,23,
249,24,
250,2,
251,2,
252,19,
253,18,
254,21,
255,18,
256,19,
257,19,
258,18,
259,21,
260,20,
261,1,
262,1,
263,1,
264,1,
265,1,
266,1,
267,1,
268,1,
269,1,
270,1,
271,1,
272,1,
273,1,
274,2,
275,2,
276,2,
277,2,
278,2,
279,2,
280,2,
281,2,
282,2,
283,2,
284,2,
285,2,
286,2,
287,2,
288,4,
289,4,
290,4,
291,5,
292,5,
293,5,
294,5,
295,5,
296,5,
297,5,
298,5,
299,5,
300,5,
301,5,
302,6,
303,6,
304,6,
305,6,
306,6,
307,6,
308,6,
309,6,
310,6,
311,7,
312,7,
313,7,
314,7,
315,7,
316,7,
317,7,
318,7,
319,7,
320,7,
321,7,
322,8,
323,8,
324,8,
325,8,
326,8,
327,8,
328,8,
329,8,
330,10,
331,10,
332,10,
333,10,
334,10,
335,10,
336,10,
337,10,
338,10,
339,10,
340,10,
341,10,
342,13,
343,13,
344,13,
345,13,
346,13,
347,13,
348,14,
349,14,
350,14,
351,14,
352,14,
353,14,
354,14,
355,14,
356,15,
357,15,
358,15,
359,15,
360,15,
361,15,
362,16,
363,16,
364,16,
365,16,
366,16,
367,16,
368,16,
369,16,
370,16,
371,17,
372,17,
373,17,
374,17,
375,17,
376,17,
377,17,
378,17,
379,17,
380,17,
381,17,
382,18,
383,18,
384,18,
385,18,
386,18,
387,18,
388,18,
389,18,
390,18,
391,18,
392,19,
393,19,
394,19,
395,19,
396,19,
397,19,
398,19,
399,19,
400,19,
401,19,
402,19,
403,19,
404,19,
405,20,
406,20,
407,20,
408,20,
409,20,
410,20,
411,20,
412,21,
413,21,
414,21,
415,21,
416,21,
417,22,
418,22,
419,22,
420,22,
421,22,
422,22,
423,22,
424,22,
425,23,
426,23,
427,23,
428,23,
429,23,
430,23,
431,23,
432,23,
433,23,
434,23,
435,23,
436,23,
437,23,
438,24,
439,24,
440,24,
441,24,
442,24,
443,24,
444,24,
445,24,
446,24,
447,24,
448,24,
449,24,
450,24,
451,24,
452,25,
453,25,
454,25,
455,25,
