ID,Mother,Father,Maternal_line,Paternal_line,Cross_CT_HT,Cross_WS,Replicate,Transect,Altitude_origin,Site_number,Trait,Batch_CT,Batch_HT,Offspring_CT,Taken_CT,TimeHT_SECS,TimeHT_MINS,Centroid_Size,Log_Centroid_Size,Transplant_site,Cage,Emergence,Rel_fitness_emergence,Survivors,Rel_fitness_survivors
533,33,268,PA34,PA12,45,NA,C,Paluma,Low,16,Cold_tolerance,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
534,33,268,PA34,PA12,45,NA,C,Paluma,Low,16,Cold_tolerance,1,NA,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
535,33,268,PA34,PA12,45,NA,C,Paluma,Low,16,Heat_tolerance,NA,8,NA,NA,302,5.033333333,NA,NA,NA,NA,NA,NA,NA,NA
536,33,268,PA34,PA12,45,NA,C,Paluma,Low,16,Heat_tolerance,NA,2,NA,NA,583,9.716666667,NA,NA,NA,NA,NA,NA,NA,NA
537,34,269,PA46,PA12,46,NA,A,Paluma,Low,16,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
538,34,269,PA46,PA12,46,NA,A,Paluma,Low,16,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
539,34,269,PA46,PA12,46,NA,A,Paluma,Low,16,Heat_tolerance,NA,3,NA,NA,366,6.1,NA,NA,NA,NA,NA,NA,NA,NA
540,34,269,PA46,PA12,46,NA,A,Paluma,Low,16,Heat_tolerance,NA,8,NA,NA,397,6.616666667,NA,NA,NA,NA,NA,NA,NA,NA
541,34,269,PA46,PA12,46,NA,A,Paluma,Low,16,Heat_tolerance,NA,1,NA,NA,701,11.68333333,NA,NA,NA,NA,NA,NA,NA,NA
542,35,270,PA46,PA12,46,NA,B,Paluma,Low,16,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
543,35,270,PA46,PA12,46,NA,B,Paluma,Low,16,Cold_tolerance,1,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
544,35,270,PA46,PA12,46,NA,B,Paluma,Low,16,Cold_tolerance,2,NA,74,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545,35,270,PA46,PA12,46,NA,B,Paluma,Low,16,Heat_tolerance,NA,3,NA,NA,319,5.316666667,NA,NA,NA,NA,NA,NA,NA,NA
546,35,270,PA46,PA12,46,NA,B,Paluma,Low,16,Heat_tolerance,NA,8,NA,NA,630,10.5,NA,NA,NA,NA,NA,NA,NA,NA
547,35,270,PA46,PA12,46,NA,B,Paluma,Low,16,Heat_tolerance,NA,1,NA,NA,1376,22.93333333,NA,NA,NA,NA,NA,NA,NA,NA
548,36,271,PA46,PA12,46,NA,C,Paluma,Low,16,Heat_tolerance,NA,2,NA,NA,216,3.6,NA,NA,NA,NA,NA,NA,NA,NA
549,36,271,PA46,PA12,46,NA,C,Paluma,Low,16,Heat_tolerance,NA,9,NA,NA,665,11.08333333,NA,NA,NA,NA,NA,NA,NA,NA
550,36,271,PA46,PA12,46,NA,C,Paluma,Low,16,Heat_tolerance,NA,1,NA,NA,732,12.2,NA,NA,NA,NA,NA,NA,NA,NA
551,37,272,PA5,PA12,42,NA,A,Paluma,Low,16,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
552,37,272,PA5,PA12,42,NA,A,Paluma,Low,16,Cold_tolerance,1,NA,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
553,37,272,PA5,PA12,42,NA,A,Paluma,Low,16,Cold_tolerance,2,NA,45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,37,272,PA5,PA12,42,NA,A,Paluma,Low,16,Heat_tolerance,NA,3,NA,NA,1264,21.06666667,NA,NA,NA,NA,NA,NA,NA,NA
555,38,273,PA5,PA12,42,NA,C,Paluma,Low,16,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
556,38,273,PA5,PA12,42,NA,C,Paluma,Low,16,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
557,38,273,PA5,PA12,42,NA,C,Paluma,Low,16,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558,38,273,PA5,PA12,42,NA,C,Paluma,Low,16,Heat_tolerance,NA,9,NA,NA,607,10.11666667,NA,NA,NA,NA,NA,NA,NA,NA
559,38,273,PA5,PA12,42,NA,C,Paluma,Low,16,Heat_tolerance,NA,3,NA,NA,1314,21.9,NA,NA,NA,NA,NA,NA,NA,NA
560,39,274,PA16,PA16,62,NA,A,Paluma,High,14,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
