ID,Dam,Sire
2189,1743,
2190,1743,
2191,1743,
2192,1746,1969
2193,1747,1970
2194,1747,1970
2195,1747,1970
2196,1747,1970
2197,1747,1970
2198,1748,1971
2199,1749,1972
2200,1749,1972
2201,1749,1972
2202,1749,1972
2203,1749,1972
2204,1749,1972
2205,1750,1973
2206,1750,1973
2207,1750,1973
2208,1750,1973
2209,1750,1973
2210,1750,1973
2211,1751,1974
2212,1751,1974
2213,1751,1974
2214,1751,1974
2215,1751,1974
2216,1752,1975
2217,1752,1975
2218,1752,1975
2219,1753,1976
2220,1753,1976
2221,1753,1976
2222,1753,1976
2223,1753,1976
2224,1754,1977
2225,1754,1977
2226,1754,1977
2227,1754,1977
2228,1754,1977
2229,1754,1977
2230,1754,1977
2231,1754,1977
2232,1754,1977
2233,1755,1978
2234,1755,1978
2235,1755,1978
2236,1755,1978
2237,1755,1978
2238,1756,1979
2239,1756,1979
2240,1756,1979
2241,1757,1980
2242,1757,1980
2243,1757,1980
2244,1757,1980
2245,1757,1980
2246,1757,1980
2247,1758,1981
2248,1758,1981
2249,1758,1981
2250,1758,1981
2251,1758,1981
2252,1759,1982
2253,1759,1982
2254,1759,1982
2255,1759,1982
2256,1759,1982
2257,1759,1982
2258,1760,1983
2259,1760,1983
2260,1760,1983
2261,1760,1983
2262,1760,1983
2263,1760,1983
2264,1761,1984
2265,1761,1984
2266,1761,1984
2267,1761,1984
2268,1761,1984
2269,1762,1985
2270,1762,1985
2271,1762,1985
2272,1762,1985
2273,1763,1986
2274,1763,1986
2275,1763,1986
2276,1763,1986
2277,1763,1986
2278,1763,1986
2279,1764,1987
2280,1764,1987
2281,1764,1987
2282,1764,1987
2283,1764,1987
2284,1765,1988
2285,1765,1988
2286,1765,1988
2287,1765,1988
2288,1765,1988
2289,1766,1989
2290,1766,1989
2291,1766,1989
2292,1766,1989
2293,1767,1990
2294,1767,1990
2295,1767,1990
2296,1767,1990
2297,1768,1991
2298,1768,1991
2299,1768,1991
2300,1768,1991
2301,1768,1991
2302,1768,1991
2303,1769,1992
2304,1769,1992
2305,1769,1992
2306,1769,1992
2307,1769,1992
2308,1769,1992
2309,1770,1993
2310,1770,1993
2311,1770,1993
2312,1770,1993
2313,1771,1994
2314,1771,1994
2315,1771,1994
2316,1771,1994
2317,1771,1994
2318,1772,1995
2319,1772,1995
2320,1772,1995
2321,1772,1995
2322,1772,1995
2323,1772,1995
2324,1773,1996
2325,1773,1996
2326,1773,1996
2327,1773,1996
2328,1773,1996
2329,1774,1997
2330,1774,1997
2331,1774,1997
2332,1774,1997
2333,1774,1997
2334,1774,1997
2335,1775,1998
2336,1775,1998
2337,1775,1998
2338,1775,1998
2339,1776,1999
2340,1776,1999
2341,1776,1999
2342,1776,1999
2343,1776,1999
2344,1776,1999
2345,1777,2000
2346,1777,2000
2347,1777,2000
2348,1777,2000
2349,1777,2000
2350,1778,2001
2351,1778,2001
2352,1778,2001
2353,1778,2001
2354,1778,2001
2355,1779,2002
2356,1779,2002
2357,1779,2002
2358,1779,2002
2359,1780,2003
2360,1780,2003
2361,1780,2003
2362,1780,2003
2363,1780,2003
2364,1781,2004
2365,1781,2004
2366,1781,2004
2367,1781,2004
2368,1782,2005
2369,1782,2005
2370,1782,2005
2371,1782,2005
2372,1783,2006
2373,1783,2006
2374,1783,2006
2375,1783,2006
2376,1783,2006
2377,1783,2006
2378,1784,2007
2379,1784,2007
2380,1784,2007
2381,1785,2008
2382,1785,2008
2383,1785,2008
2384,1785,2008
2385,1785,2008
2386,1786,2009
2387,1786,2009
2388,1786,2009
2389,1786,2009
2390,1786,2009
2391,1786,2009
2392,1787,2010
2393,1787,2010
2394,1787,2010
2395,1788,2011
2396,1788,2011
2397,1788,2011
2398,1788,2011
2399,1788,2011
2400,1788,2011
2401,1789,2012
2402,1789,2012
2403,1789,2012
2404,1790,2013
2405,1790,2013
2406,1790,2013
2407,1790,2013
2408,1791,2014
2409,1791,2014
2410,1791,2014
2411,1791,2014
2412,1792,2015
2413,1792,2015
2414,1792,2015
2415,1792,2015
2416,1792,2015
2417,1792,2015
2418,1793,2016
2419,1793,2016
2420,1793,2016
2421,1793,2016
2422,1793,2016
2423,1793,2016
2424,1794,2017
2425,1794,2017
2426,1794,2017
2427,1794,2017
2428,1794,2017
2429,1794,2017
2430,1795,2018
2431,1795,2018
2432,1796,2019
2433,1796,2019
2434,1796,2019
2435,1796,2019
2436,1796,2019
2437,1796,2019
2438,1797,2020
2439,1797,2020
2440,1797,2020
2441,1797,2020
2442,1797,2020
2443,1798,2021
2444,1799,2022
2445,1799,2022
2446,1799,2022
2447,1799,2022
2448,1799,2022
2449,1799,2022
2450,1800,2023
2451,1801,2024
2452,1801,2024
2453,1802,2025
2454,1802,2025
2455,1802,2025
2456,1802,2025
2457,1802,2025
2458,1803,2026
2459,1803,2026
2460,1803,2026
2461,1803,2026
2462,1803,2026
2463,1803,2026
2464,1804,2027
2465,1804,2027
2466,1805,2028
2467,1805,2028
2468,1805,2028
2469,1805,2028
2470,1806,2029
2471,1806,2029
2472,1806,2029
2473,1807,2030
2474,1807,2030
2475,1807,2030
2476,1807,2030
2477,1808,2031
2478,1808,2031
2479,1808,2031
2480,1808,2031
2481,1808,2031
2482,1809,2032
2483,1809,2032
2484,1810,2033
2485,1810,2033
2486,1810,2033
2487,1810,2033
2488,1810,2033
2489,1811,2034
2490,1811,2034
2491,1811,2034
2492,1812,2035
2493,1812,2035
2494,1812,2035
2495,1812,2035
2496,1812,2035
2497,1812,2035
2498,1813,2036
2499,1813,2036
2500,1813,2036
2501,1814,2037
2502,1814,2037
2503,1814,2037
2504,1814,2037
2505,1814,2037
2506,1814,2037
2507,1815,2038
2508,1815,2038
2509,1815,2038
2510,1815,2038
2511,1815,2038
2512,1815,2038
2513,1816,2039
2514,1816,2039
2515,1816,2039
2516,1816,2039
2517,1817,2040
2518,1817,2040
2519,1817,2040
2520,1818,2041
2521,1818,2041
2522,1818,2041
2523,1818,2041
2524,1818,2041
2525,1819,2042
2526,1819,2042
2527,1819,2042
2528,1819,2042
2529,1820,2043
2530,1820,2043
2531,1820,2043
2532,1821,2044
2533,1821,2044
2534,1821,2044
2535,1821,2044
2536,1821,2044
2537,1821,2044
2538,1822,2045
2539,1822,2045
2540,1822,2045
2541,1823,2046
2542,1823,2046
2543,1823,2046
2544,1823,2046
2545,1824,2047
2546,1824,2047
2547,1824,2047
2548,1824,2047
2549,1825,2048
2550,1825,2048
2551,1826,2049
2552,1826,2049
2553,1826,2049
2554,1826,2049
2555,1826,2049
2556,1827,2050
2557,1828,2051
2558,1828,2051
2559,1828,2051
2560,1828,2051
2561,1828,2051
2562,1828,2051
2563,1829,2052
2564,1829,2052
2565,1829,2052
2566,1829,2052
2567,1830,2053
2568,1830,2053
2569,1830,2053
2570,1831,2054
2571,1831,2054
2572,1831,2054
2573,1831,2054
2574,1831,2054
2575,1831,2054
2576,1832,2055
2577,1832,2055
2578,1832,2055
2579,1832,2055
2580,1832,2055
2581,1833,2056
2582,1833,2056
2583,1833,2056
2584,1834,2057
2585,1835,2058
2586,1835,2058
2587,1835,2058
2588,1835,2058
2589,1835,2058
2590,1836,2059
2591,1836,2059
2592,1836,2059
2593,1836,2059
2594,1836,2059
2595,1837,2060
2596,1837,2060
2597,1837,2060
2598,1838,2061
2599,1838,2061
2600,1838,2061
2601,1838,2061
2602,1838,2061
2603,1838,2061
2604,1839,2062
2605,1839,2062
2606,1839,2062
2607,1839,2062
2608,1840,2063
2609,1840,2063
2610,1840,2063
2611,1840,2063
2612,1840,2063
2613,1840,2063
2614,1841,2064
2615,1841,2064
2616,1841,2064
2617,1841,2064
2618,1841,2064
2619,1842,2065
2620,1842,2065
2621,1842,2065
2622,1843,2066
2623,1843,2066
2624,1843,2066
2625,1843,2066
2626,1843,2066
2627,1844,2067
2628,1844,2067
2629,1844,2067
2630,1844,2067
2631,1844,2067
2632,1845,2068
2633,1846,2069
2634,1847,2070
2635,1847,2070
2636,1847,2070
2637,1847,2070
2638,1847,2070
2639,1848,2071
2640,1848,2071
2641,1849,2072
2642,1849,2072
2643,1849,2072
2644,1849,2072
2645,1849,2072
2646,1850,2073
2647,1850,2073
2648,1850,2073
2649,1850,2073
2650,1850,2073
2651,1850,2073
2652,1851,2074
2653,1851,2074
2654,1851,2074
2655,1851,2074
2656,1851,2074
2657,1851,2074
2658,1852,2075
2659,1852,2075
2660,1852,2075
2661,1852,2075
2662,1852,2075
2663,1853,2076
2664,1853,2076
2665,1853,2076
2666,1853,2076
2667,1853,2076
2668,1854,2077
2669,1854,2077
2670,1854,2077
2671,1854,2077
2672,1854,2077
2673,1855,2078
2674,1855,2078
2675,1855,2078
2676,1856,2079
2677,1856,2079
2678,1856,2079
2679,1857,2080
2680,1857,2080
2681,1857,2080
2682,1857,2080
2683,1858,2081
2684,1858,2081
2685,1858,2081
2686,1858,2081
2687,1858,2081
2688,1858,2081
2689,1858,2081
2690,1859,2082
2691,1859,2082
2692,1859,2082
2693,1860,2083
2694,1860,2083
2695,1860,2083
2696,1860,2083
2697,1860,2083
2698,1860,2083
2699,1861,2084
2700,1861,2084
2701,1861,2084
2702,1861,2084
2703,1861,2084
2704,1862,2085
2705,1862,2085
2706,1862,2085
2707,1862,2085
2708,1862,2085
2709,1863,2086
2710,1863,2086
2711,1864,2087
2712,1864,2087
2713,1864,2087
2714,1864,2087
2715,1864,2087
2716,1864,2087
2717,1865,2088
2718,1865,2088
2719,1865,2088
2720,1865,2088
2721,1866,2089
2722,1866,2089
2723,1866,2089
2724,1866,2089
2725,1866,2089
2726,1866,2089
2727,1867,2090
2728,1868,2091
2729,1868,2091
2730,1869,2092
2731,1869,2092
2732,1869,2092
2733,1869,2092
2734,1869,2092
2735,1870,2093
2736,1870,2093
2737,1870,2093
2738,1870,2093
2739,1870,2093
2740,1870,2093
2741,1871,2094
2742,1871,2094
2743,1871,2094
2744,1872,2095
2745,1872,2095
2746,1872,2095
2747,1873,2096
2748,1874,2097
2749,1874,2097
2750,1874,2097
2751,1875,2098
2752,1875,2098
2753,1875,2098
2754,1875,2098
2755,1875,2098
2756,1876,2099
2757,1876,2099
2758,1876,2099
2759,1876,2099
2760,1876,2099
2761,1876,2099
2762,1877,2100
2763,1877,2100
2764,1877,2100
2765,1877,2100
2766,1877,2100
2767,1878,2101
2768,1878,2101
2769,1878,2101
2770,1878,2101
2771,1878,2101
2772,1879,2102
2773,1879,2102
2774,1879,2102
2775,1879,2102
2776,1879,2102
2777,1879,2102
2778,1880,2103
2779,1881,2104
2780,1881,2104
2781,1881,2104
2782,1881,2104
2783,1881,2104
2784,1882,2105
2785,1883,2106
2786,1883,2106
2787,1883,2106
2788,1883,2106
2789,1883,2106
2790,1884,2107
2791,1884,2107
2792,1884,2107
2793,1884,2107
2794,1884,2107
2795,1885,2108
2796,1885,2108
2797,1885,2108
2798,1885,2108
2799,1885,2108
2800,1886,2109
2801,1886,2109
2802,1886,2109
2803,1886,2109
2804,1886,2109
2805,1887,2110
2806,1887,2110
2807,1887,2110
2808,1887,2110
2809,1887,2110
2810,1888,2111
2811,1888,2111
